BLPEE269-12|Aristotelia.	Insecta	Lepidoptera	Gelechiidae	Anomologinae	Aristotelia	Aristotelia_BioLep612
ASARD11693-14|Hemiceras.	Insecta	Lepidoptera	Notodontidae	Hemiceratinae	Hemiceras	Hemiceras_muscosaDHJ04
WALPB3746-14|Clerarcha.	Insecta	Lepidoptera	Xyloryctidae	Xyloryctinae	Clerarcha	Clerarcha_agana
WALPB3748-14|Clerarcha.	Insecta	Lepidoptera	Xyloryctidae	Xyloryctinae	Clerarcha	Clerarcha_agana
WALPB4400-14|Clerarcha.	Insecta	Lepidoptera	Xyloryctidae	Xyloryctinae	Clerarcha	Clerarcha_agana
WALPB5132-14|Clerarcha.	Insecta	Lepidoptera	Xyloryctidae	Xyloryctinae	Clerarcha	Clerarcha_agana
GBCL59183-19|Hydroporus.	Insecta	Coleoptera	Dytiscidae	Hydroporinae	Hydroporus	Hydroporus_sp__IRC4_2
ANIAD1939-11|Pyripnoa.	Insecta	Lepidoptera	Noctuidae	Acontiinae	Pyripnoa	Pyripnoa_sciaptera
NORSY373-12|Brachyopa.	Insecta	Diptera	Syrphidae	Eristalinae	Brachyopa	Brachyopa_testacea
BLPDF5403-19|phyBioLep01.	Insecta	Lepidoptera	Pyralidae	Phycitinae	phyBioLep01	phyBioLep01_BioLep935
BLPDK051-09|phyBioLep01.	Insecta	Lepidoptera	Pyralidae	Phycitinae	phyBioLep01	phyBioLep01_BioLep935
BLPDS246-10|phyBioLep01.	Insecta	Lepidoptera	Pyralidae	Phycitinae	phyBioLep01	phyBioLep01_BioLep935
BLPDT003-10|phyBioLep01.	Insecta	Lepidoptera	Pyralidae	Phycitinae	phyBioLep01	phyBioLep01_BioLep935
BLPDU023-11|phyBioLep01.	Insecta	Lepidoptera	Pyralidae	Phycitinae	phyBioLep01	phyBioLep01_BioLep935
MHMYS2859-13|phyBioLep01.	Insecta	Lepidoptera	Pyralidae	Phycitinae	phyBioLep01	phyBioLep01_BioLep935
MHMYS2944-13|phyBioLep01.	Insecta	Lepidoptera	Pyralidae	Phycitinae	phyBioLep01	phyBioLep01_BioLep935
MHMYS3144-13|phyBioLep01.	Insecta	Lepidoptera	Pyralidae	Phycitinae	phyBioLep01	phyBioLep01_BioLep935
GBGL37337-19|Hyponephele.	Insecta	Lepidoptera	Nymphalidae	Satyrinae	Hyponephele	Hyponephele_lycaonoides
JIEAB249-16|Cephalotes.	Insecta	Hymenoptera	Formicidae	Myrmicinae	Cephalotes	Cephalotes_basalis
GBAHF1778-19|Cephalotes.	Insecta	Hymenoptera	Formicidae	Myrmicinae	Cephalotes	Cephalotes_basalis
ASLAM785-11|Cephalotes.	Insecta	Hymenoptera	Formicidae	Myrmicinae	Cephalotes	Cephalotes_basalis
MHATB136-05|Arsenura.	Insecta	Lepidoptera	Saturniidae	Arsenurinae	Arsenura	Arsenura_drucei
GBMIN74624-17|Colletes.	Insecta	Hymenoptera	Colletidae	Colletinae	Colletes	Colletes_cunicularius
FBHAP201-09|Colletes.	Insecta	Hymenoptera	Colletidae	Colletinae	Colletes	Colletes_cunicularius
GBACU1603-12|Colletes.	Insecta	Hymenoptera	Colletidae	Colletinae	Colletes	Colletes_cunicularius
LNAUT3333-15|Elachista.	Insecta	Lepidoptera	Elachistidae	Elachistinae	Elachista	Elachista_stramineola
DUNLP202-08|Hypsopygia.	Insecta	Lepidoptera	Pyralidae	Pyralinae	Hypsopygia	Hypsopygia_thymetusalis
LBCD407-05|Hypsopygia.	Insecta	Lepidoptera	Pyralidae	Pyralinae	Hypsopygia	Hypsopygia_thymetusalis
GBAH0989-06|Neuroterus.	Insecta	Hymenoptera	Cynipidae	Cynipinae	Neuroterus	Neuroterus_numismalis
HMCAD220-08|Dipseudopsis.	Insecta	Trichoptera	Dipseudopsidae	Dipseudopsinae	Dipseudopsis	Dipseudopsis_benardi
HMCAD222-08|Dipseudopsis.	Insecta	Trichoptera	Dipseudopsidae	Dipseudopsinae	Dipseudopsis	Dipseudopsis_benardi
LBCH4679-10|Autographa.	Insecta	Lepidoptera	Noctuidae	Plusiinae	Autographa	Autographa_corusca
CNCLB299-14|Autographa.	Insecta	Lepidoptera	Noctuidae	Plusiinae	Autographa	Autographa_corusca
LHLEP278-06|Autographa.	Insecta	Lepidoptera	Noctuidae	Plusiinae	Autographa	Autographa_corusca
ANICW373-11|Strepsicrates.	Insecta	Lepidoptera	Tortricidae	Olethreutinae	Strepsicrates	Strepsicrates_dyselia
HCNC794-09|Corythucha.	Insecta	Hemiptera	Tingidae	Tinginae	Corythucha	Corythucha_immaculata
GWOSI026-10|Agriopis.	Insecta	Lepidoptera	Geometridae	Ennominae	Agriopis	Agriopis_bajaria
GWOTA112-12|Agriopis.	Insecta	Lepidoptera	Geometridae	Ennominae	Agriopis	Agriopis_bajaria
LEATF363-14|Agriopis.	Insecta	Lepidoptera	Geometridae	Ennominae	Agriopis	Agriopis_bajaria
GWORA537-08|Agriopis.	Insecta	Lepidoptera	Geometridae	Ennominae	Agriopis	Agriopis_bajaria
GWORA538-08|Agriopis.	Insecta	Lepidoptera	Geometridae	Ennominae	Agriopis	Agriopis_bajaria
BLGSM082-09|Sparganothis.	Insecta	Lepidoptera	Tortricidae	Tortricinae	Sparganothis	Sparganothis_unifasciana
BLTIB992-08|Sparganothis.	Insecta	Lepidoptera	Tortricidae	Tortricinae	Sparganothis	Sparganothis_unifasciana
XAC749-04|Sparganothis.	Insecta	Lepidoptera	Tortricidae	Tortricinae	Sparganothis	Sparganothis_unifasciana
GBLN0084-06|Anthanassa.	Insecta	Lepidoptera	Nymphalidae	Nymphalinae	Anthanassa	Anthanassa_otanes
GBMTG3046-16|Nuttalliella.	Arachnida	Ixodida	Nuttalliellidae	Nuttalliella	Nuttalliella_namaqua
GBMTG3046-16|Nuttalliella.	Arachnida	Ixodida	Nuttalliellidae	Nuttalliella	Nuttalliella_namaqua
GBMTG3046-16|Nuttalliella.	Arachnida	Ixodida	Nuttalliellidae	Nuttalliella	Nuttalliella_namaqua
GBMTG3046-16|Nuttalliella.	Arachnida	Ixodida	Nuttalliellidae	Nuttalliella	Nuttalliella_namaqua
GBMTG3046-16|Nuttalliella.	Arachnida	Ixodida	Nuttalliellidae	Nuttalliella	Nuttalliella_namaqua
GBMTG3046-16|Nuttalliella.	Arachnida	Ixodida	Nuttalliellidae	Nuttalliella	Nuttalliella_namaqua
GBMTG3046-16|Nuttalliella.	Arachnida	Ixodida	Nuttalliellidae	Nuttalliella	Nuttalliella_namaqua
GBMTG3046-16|Nuttalliella.	Arachnida	Ixodida	Nuttalliellidae	Nuttalliella	Nuttalliella_namaqua
GBMTG3046-16|Nuttalliella.	Arachnida	Ixodida	Nuttalliellidae	Nuttalliella	Nuttalliella_namaqua
GBGL18777-15|Graphium.	Insecta	Lepidoptera	Papilionidae	Papilioninae	Graphium	Graphium_doson	Graphium_doson_albidum
GMRMK034-14|Psychoda.	Insecta	Diptera	Psychodidae	Psychodinae	Psychoda	Psychoda_cinerea
GMGMG783-14|Psychoda.	Insecta	Diptera	Psychodidae	Psychodinae	Psychoda	Psychoda_cinerea
COCSA093-09|Cypris.	Ostracoda	Podocopida	Cyprididae	Cypridinae	Cypris	Cypris_pubera
COCSA120-09|Cypris.	Ostracoda	Podocopida	Cyprididae	Cypridinae	Cypris	Cypris_pubera
COCSA172-09|Cypris.	Ostracoda	Podocopida	Cyprididae	Cypridinae	Cypris	Cypris_pubera
OZFWZ017-11|Cypris.	Ostracoda	Podocopida	Cyprididae	Cypridinae	Cypris	Cypris_pubera
OZFWZ062-11|Cypris.	Ostracoda	Podocopida	Cyprididae	Cypridinae	Cypris	Cypris_pubera
OZFWZ077-11|Cypris.	Ostracoda	Podocopida	Cyprididae	Cypridinae	Cypris	Cypris_pubera
BBLZI207-14|Cypris.	Ostracoda	Podocopida	Cyprididae	Cypridinae	Cypris	Cypris_pubera
BBLZI212-14|Cypris.	Ostracoda	Podocopida	Cyprididae	Cypridinae	Cypris	Cypris_pubera
CHUBL073-07|Cypris.	Ostracoda	Podocopida	Cyprididae	Cypridinae	Cypris	Cypris_pubera
SAOST009-08|Cypris.	Ostracoda	Podocopida	Cyprididae	Cypridinae	Cypris	Cypris_pubera
SAOST068-08|Cypris.	Ostracoda	Podocopida	Cyprididae	Cypridinae	Cypris	Cypris_pubera
GBDP22675-19|Meromyza.	Insecta	Diptera	Chloropidae	Chloropinae	Meromyza	Meromyza_mosquensis
BCIAR1065-19|Odozana.	Insecta	Lepidoptera	Erebidae	Arctiinae	Odozana	Odozana_sp__1YB
ANICS714-11|Catancyla.	Insecta	Lepidoptera	Crambidae	Crambinae	Catancyla	Catancyla_sp__ANIC1
ABNCC419-07|Argyrostrotis.	Insecta	Lepidoptera	Erebidae	Erebinae	Argyrostrotis	Argyrostrotis_flavistriaria
LNCB312-06|Argyrostrotis.	Insecta	Lepidoptera	Erebidae	Erebinae	Argyrostrotis	Argyrostrotis_flavistriaria
FINTI584-12|Dicranomyia.	Insecta	Diptera	Limoniidae	Limoniinae	Dicranomyia	Dicranomyia_ponojensis
GWORL397-09|Hypena.	Insecta	Lepidoptera	Erebidae	Hypeninae	Hypena	Hypena_rostralis
LENOA021-11|Hypena.	Insecta	Lepidoptera	Erebidae	Hypeninae	Hypena	Hypena_rostralis
LEATG248-14|Hypena.	Insecta	Lepidoptera	Erebidae	Hypeninae	Hypena	Hypena_rostralis
ABOLA511-14|Hypena.	Insecta	Lepidoptera	Erebidae	Hypeninae	Hypena	Hypena_rostralis
ESAP006-13|Orchopeas.	Insecta	Siphonaptera	Ceratophyllidae	Ceratophyllinae	Orchopeas	Orchopeas_caedens
ESAP163-15|Orchopeas.	Insecta	Siphonaptera	Ceratophyllidae	Ceratophyllinae	Orchopeas	Orchopeas_caedens
ESAP171-15|Orchopeas.	Insecta	Siphonaptera	Ceratophyllidae	Ceratophyllinae	Orchopeas	Orchopeas_caedens
ESAP179-15|Orchopeas.	Insecta	Siphonaptera	Ceratophyllidae	Ceratophyllinae	Orchopeas	Orchopeas_caedens
ESAP185-15|Orchopeas.	Insecta	Siphonaptera	Ceratophyllidae	Ceratophyllinae	Orchopeas	Orchopeas_caedens
ESAP195-15|Orchopeas.	Insecta	Siphonaptera	Ceratophyllidae	Ceratophyllinae	Orchopeas	Orchopeas_caedens
ESAP214-15|Orchopeas.	Insecta	Siphonaptera	Ceratophyllidae	Ceratophyllinae	Orchopeas	Orchopeas_caedens
ESAP011-13|Orchopeas.	Insecta	Siphonaptera	Ceratophyllidae	Ceratophyllinae	Orchopeas	Orchopeas_caedens
GBCM9406-17|Cherax.	Malacostraca	Decapoda	Parastacidae	Cherax	Cherax_gherardiae
UMCHM122-09|Chimarra.	Insecta	Trichoptera	Philopotamidae	Chimarrinae	Chimarra	Chimarra_adamsae
INHST341-09|Hydroptila.	Insecta	Trichoptera	Hydroptilidae	Hydroptilinae	Hydroptila	Hydroptila_hamata
ONCAD1039-09|Hydroptila.	Insecta	Trichoptera	Hydroptilidae	Hydroptilinae	Hydroptila	Hydroptila_hamata
GBMNB065-20|Ambulyx.	Insecta	Lepidoptera	Sphingidae	Smerinthinae	Ambulyx	Ambulyx_japonica
LSAFA007-13|Neaxestis.	Insecta	Lepidoptera	Nolidae	Chloephorinae	Neaxestis	Neaxestis_griseata
BETN3499-19|Amara.	Insecta	Coleoptera	Carabidae	Harpalinae	Amara	Amara_carinata
